Herstellercode=052;
Geraete ID=02080;
Klassifizierungscode=9;
Rn=01;
Rf=01;
Beginn=15.02.2016 13:32:06;
Ende=16.02.2016 23:59:32;
Hardwareversion=0.0.2016;
Exportbeginn=16.02.2016 00:00:00;
Exportende=16.02.2016 23:59:59;
Exportformat=Fahrzeugeinzeldaten V1.0;

Messung Nr.=121;
Mess Beginn=15.02.2016 13:32:06;
Mess Ende=16.02.2016 23:59:32;
GPS long=8,795198;
GPS lat=51,772411;
GPS Uhrzeit=16.02.2016 20:00:00;
GPS Qualitaet=1;
GPS Satelliten=10;
GPS HDOP=0,9;
Softwareversion=1.92.26.11.2015;


Verkehrsdaten:
Datum	Uhrzeit	V	L	Zeit	FS	Code	Schall	AZ	Sta;
16.02.2016	05:46:50	71	45	65535	2	7	0	2	0;
16.02.2016	05:46:52	69	46	65535	2	7	0	2	0;
16.02.2016	05:46:59	73	41	65535	1	7	0	2	0;
16.02.2016	05:47:01	65	46	65535	1	7	0	2	0;
16.02.2016	05:47:04	68	44	65535	1	7	0	2	0;
16.02.2016	05:47:06	67	41	65535	1	7	0	2	0;
16.02.2016	05:47:40	74	40	65535	2	7	0	2	0;
16.02.2016	05:47:51	74	40	65535	1	7	0	2	0;
16.02.2016	05:48:48	64	37	65535	1	7	0	2	0;
16.02.2016	05:48:51	70	41	65535	1	7	0	2	0;
16.02.2016	05:49:33	60	44	65535	1	7	0	2	0;
16.02.2016	05:49:42	75	44	65535	1	7	0	2	0;
16.02.2016	05:49:45	78	48	65535	1	7	0	2	0;
16.02.2016	05:50:13	87	47	65535	1	7	0	2	0;
16.02.2016	05:50:37	87	43	65535	1	7	0	2	0;
16.02.2016	05:51:07	81	49	65535	1	7	0	2	0;
16.02.2016	05:51:09	80	43	65535	1	7	0	2	0;
16.02.2016	05:51:40	82	47	65535	2	7	0	2	0;
16.02.2016	05:52:18	84	51	65535	2	7	0	2	0;
16.02.2016	05:52:21	72	44	65535	1	7	0	2	0;
16.02.2016	05:52:40	63	98	65535	1	3	0	2	0;
16.02.2016	05:52:55	60	43	65535	1	7	0	2	0;
16.02.2016	05:53:31	66	88	65535	2	3	0	2	0;
16.02.2016	05:53:35	72	50	65535	2	7	0	2	0;
16.02.2016	05:53:43	57	44	65535	1	7	0	2	0;
16.02.2016	05:53:45	60	54	65535	1	11	0	2	0;
16.02.2016	05:53:57	66	46	65535	1	7	0	2	0;
16.02.2016	05:54:04	71	49	65535	2	7	0	2	0;
16.02.2016	05:54:26	75	44	65535	1	7	0	2	0;
16.02.2016	05:54:51	74	38	65535	2	7	0	2	0;
16.02.2016	05:54:52	66	46	65535	1	7	0	2	0;
